City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ambovombe,MG,85.32,clear sky,-25.1667,46.0833,RELAHARA
2,Rikitea,PF,76.42,broken clouds,-23.1203,-134.9692,People ThankYou
3,Atuona,PF,78.8,clear sky,-9.8,-139.0333,Villa Enata
15,Busselton,AU,84.09,clear sky,-33.65,115.3333,Observatory Guest House
16,Baculin,PH,84.88,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
20,Kieta,PG,83.61,light rain,-6.2167,155.6333,Uruna Bay Retreat
23,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
25,Grenfell,AU,78.33,clear sky,-33.9,148.1667,Grenfell Royal Hotel
26,Vizianagaram,IN,78.31,overcast clouds,18.1167,83.4167,Anupriya Residency
35,Lindi,TZ,82.17,few clouds,-10.0,39.7167,Lindi paradise house
40,Catuday,PH,80.51,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
42,Libertador General San Martin,AR,75.94,overcast clouds,-23.8064,-64.7876,Posada del Sol
43,Vao,NC,77.29,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
49,Butaritari,KI,83.03,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
54,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
56,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
57,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
62,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
67,Saint-Philippe,RE,85.55,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
68,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
71,Luwuk,ID,85.82,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
73,Guhagar,IN,81.43,overcast clouds,17.4842,73.1929,Hotel Seawinds
79,Amuntai,ID,85.89,overcast clouds,-2.4177,115.2494,Hotel Balqis
82,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
89,Avarua,CK,75.25,heavy intensity rain,-21.2078,-159.775,Paradise Inn
93,Kavaratti,IN,81.37,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
94,Banda Aceh,ID,83.79,overcast clouds,5.5577,95.3222,Sulthan Hotel International
98,Ipixuna,BR,76.95,light rain,-1.7625,-48.8043,Casa da Oscarina
102,Vikarabad,IN,77.49,broken clouds,17.3333,77.9,Hotel PRINCE DELUXE LODGE
103,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
104,Malakal,SS,81.0,few clouds,9.5334,31.6605,Nile Palace Hotel
112,Bandarbeyla,SO,78.21,clear sky,9.4942,50.8122,JABIR HOTEL
115,Maragogi,BR,77.32,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
125,Biak,ID,83.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
127,Matara,LK,85.26,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
134,Trat,TH,82.9,broken clouds,12.5,102.5,สวนหนิง-อัศ
137,Monywa,MM,79.75,scattered clouds,22.1167,95.1333,Monywa Hotel
140,Yanam,IN,86.4,overcast clouds,16.7333,82.2167,The Regency Hotel
145,Buala,SB,82.53,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
154,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
157,Panama City,PA,82.06,few clouds,8.9936,-79.5197,Riande Urban Hotel
159,Faanui,PF,81.54,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Payo,ID,81.75,overcast clouds,-3.7508,103.6372,Mess keban agung
166,Akyab,MM,79.38,overcast clouds,20.15,92.9,Hotel Memory
170,Kavieng,PG,84.65,broken clouds,-2.5744,150.7967,Nusa Island Retreat
175,Port-Gentil,GA,79.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
182,Banjar,ID,87.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
196,Sola,VU,82.13,broken clouds,-13.8833,167.55,Leumerus Bungalows
203,Hong Gai,VN,75.11,broken clouds,20.956,107.0946,Hạ Long DC Hotel
204,Les Cayes,HT,75.52,overcast clouds,18.2,-73.75,Villa Orphee
207,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
208,Santiago Del Estero,AR,80.71,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
