City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ambovombe,MG,-25.1667,46.0833,85.32,45,0,6.4,clear sky
1,Olafsvik,IS,64.8945,-23.7142,35.76,60,79,1.07,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,76.42,75,67,14.2,broken clouds
3,Atuona,PF,-9.8,-139.0333,78.8,72,1,16.37,clear sky
4,Guerrero Negro,MX,27.9769,-114.0611,61.45,85,35,10.67,scattered clouds
5,Yellowknife,CA,62.456,-114.3525,-17.88,76,75,10.36,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,48.31,76,75,14.97,broken clouds
7,Kahului,US,20.8947,-156.47,73.42,80,90,19.57,overcast clouds
8,Rio Grande,BR,-32.035,-52.0986,67.95,79,19,11.01,few clouds
9,Kapaa,US,22.0752,-159.319,73.38,66,1,1.01,clear sky
10,Esmeralda,CU,21.8525,-78.1169,72.64,65,81,6.93,broken clouds
11,Lasa,IT,46.6166,10.7002,30.94,69,100,2.91,overcast clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,58.08,84,90,3.0,light rain
13,Cape Town,ZA,-33.9258,18.4232,64.11,70,20,4.0,few clouds
14,Yar-Sale,RU,66.8333,70.8333,-8.55,97,100,9.64,overcast clouds
15,Busselton,AU,-33.65,115.3333,84.09,35,9,4.63,clear sky
16,Baculin,PH,7.4525,126.5842,84.88,72,67,14.09,broken clouds
17,Saskylakh,RU,71.9167,114.0833,-16.55,97,100,12.73,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,65.03,72,99,9.78,overcast clouds
19,Nikolskoye,RU,59.7035,30.7861,24.69,97,100,3.91,overcast clouds
20,Kieta,PG,-6.2167,155.6333,83.61,75,98,1.19,light rain
21,Mataura,NZ,-46.1927,168.8643,65.86,96,97,3.06,light rain
22,Kamaishi,JP,39.2667,141.8833,45.55,57,69,4.12,broken clouds
23,Souillac,MU,-20.5167,57.5167,82.78,69,40,10.36,scattered clouds
24,Blythe,US,33.6103,-114.5964,63.05,16,1,4.61,clear sky
25,Grenfell,AU,-33.9,148.1667,78.33,18,0,14.47,clear sky
26,Vizianagaram,IN,18.1167,83.4167,78.31,78,100,14.32,overcast clouds
27,Bethel,US,41.3712,-73.414,37.49,67,1,0.0,clear sky
28,Albany,US,42.6001,-73.9662,31.08,74,47,4.21,scattered clouds
29,Orangeburg,US,33.4918,-80.8557,57.16,82,1,0.0,clear sky
30,Bangolo,CI,7.0069,-7.475,70.29,95,84,1.61,broken clouds
31,East London,ZA,-33.0153,27.9116,65.34,94,75,2.3,light rain
32,Klaksvik,FO,62.2266,-6.589,34.72,74,97,8.61,overcast clouds
33,Ossora,RU,59.2353,163.0719,16.77,84,83,5.93,broken clouds
34,Khatanga,RU,71.9667,102.5,-19.97,96,100,15.17,overcast clouds
35,Lindi,TZ,-10.0,39.7167,82.17,69,11,5.61,few clouds
36,Tomatlan,MX,19.9333,-105.25,71.37,96,6,2.06,clear sky
37,Ushuaia,AR,-54.8,-68.3,49.66,53,40,20.71,scattered clouds
38,Bartica,GY,6.4,-58.6167,73.72,99,79,1.21,broken clouds
39,Bluff,NZ,-46.6,168.3333,62.15,88,85,0.29,overcast clouds
40,Catuday,PH,16.2923,119.8062,80.51,56,57,4.29,broken clouds
41,Ahuimanu,US,21.4447,-157.8378,69.85,67,75,14.97,broken clouds
42,Libertador General San Martin,AR,-23.8064,-64.7876,75.94,70,100,2.75,overcast clouds
43,Vao,NC,-22.6667,167.4833,77.29,79,81,13.15,broken clouds
44,Kasama,ZM,-10.2129,31.1808,70.54,45,2,7.05,clear sky
45,Trebisov,SK,48.6286,21.7195,26.64,87,13,5.53,few clouds
46,Mus,TR,39.0,41.75,21.24,80,53,4.92,broken clouds
47,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.68,92,2,6.38,clear sky
48,Sun Valley,US,39.5963,-119.776,52.93,52,1,1.01,clear sky
49,Butaritari,KI,3.0707,172.7902,83.03,74,93,13.8,overcast clouds
50,Hami,CN,42.8,93.45,30.29,46,28,0.72,scattered clouds
51,Athabasca,CA,54.7169,-113.2854,17.42,87,90,0.87,overcast clouds
52,Thompson,CA,55.7435,-97.8558,-14.64,76,40,3.44,scattered clouds
53,Necochea,AR,-38.5473,-58.7368,48.04,86,47,8.1,scattered clouds
